2025-11-30 20:43:45,798 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-11-30 20:43:45,799 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/ubuntu/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-11-30 20:43:47,012 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█| 99842/99842 [00:06<00
Step 00000 | Validation bpb: 0.6896
step 00108 (13.36%) | loss: 1.494697 | lrm: 1.00 | dt: 473.29ms | tok/sec: 1,107,761 | mfu: 48.89 | total time: 0.86m
step 00109 (13.50%) | loss: 1.499306 | lrm: 1.00 | dt: 551.52ms | tok/sec: 950,627 | mfu: 41.95 | total time: 0.87m
step 00110 (13.61%) | loss: 1.496767 | lrm: 1.00 | dt: 549.49ms | tok/sec: 954,130 | mfu: 42.11 | total time: 0.88m
step 00111 (13.74%) | loss: 1.490104 | lrm: 1.00 | dt: 561.26ms | tok/sec: 934,121 | mfu: 41.23 | total time: 0.89m
step 00112 (13.86%) | loss: 1.479492 | lrm: 1.00 | dt: 545.08ms | tok/sec: 961,859 | mfu: 42.45 | total time: 0.90m
step 00113 (13.98%) | loss: 1.482862 | lrm: 1.00 | dt: 600.38ms | tok/sec: 873,255 | mfu: 38.54 | total time: 0.91m
step 00114 (14.12%) | loss: 1.472519 | lrm: 1.00 | dt: 597.97ms | tok/sec: 876,784 | mfu: 38.69 | total time: 0.92m
step 00115 (14.23%) | loss: 1.471689 | lrm: 1.00 | dt: 552.38ms | tok/sec: 949,145 | mfu: 41.89 | total time: 0.93m
step 00116 (14.36%) | loss: 1.475575 | lrm: 1.00 | dt: 551.32ms | tok/sec: 950,970 | mfu: 41.97 | total time: 0.94m
step 00117 (14.47%) | loss: 1.474553 | lrm: 1.00 | dt: 609.04ms | tok/sec: 860,843 | mfu: 37.99 | total time: 0.95m
step 00118 (14.60%) | loss: 1.474050 | lrm: 1.00 | dt: 595.92ms | tok/sec: 879,790 | mfu: 38.83 | total time: 0.96m
step 00119 (14.72%) | loss: 1.480098 | lrm: 1.00 | dt: 549.69ms | tok/sec: 953,785 | mfu: 42.09 | total time: 0.97m
step 00120 (14.84%) | loss: 1.478659 | lrm: 1.00 | dt: 475.76ms | tok/sec: 1,102,011 | mfu: 48.63 | total time: 0.97m
step 00121 (14.96%) | loss: 1.485875 | lrm: 1.00 | dt: 561.65ms | tok/sec: 933,485 | mfu: 41.20 | total time: 0.98m
step 00122 (15.07%) | loss: 1.483751 | lrm: 1.00 | dt: 543.95ms | tok/sec: 963,854 | mfu: 42.54 | total time: 0.99m
step 00123 (15.18%) | loss: 1.478035 | lrm: 1.00 | dt: 470.74ms | tok/sec: 1,113,748 | mfu: 49.15 | total time: 1.00m
step 00124 (15.30%) | loss: 1.482355 | lrm: 1.00 | dt: 597.67ms | tok/sec: 877,220 | mfu: 38.71 | total time: 1.01m
step 00125 (15.42%) | loss: 1.493527 | lrm: 1.00 | dt: 474.40ms | tok/sec: 1,105,158 | mfu: 48.77 | total time: 1.02m
step 00126 (15.57%) | loss: 1.493251 | lrm: 1.00 | dt: 480.62ms | tok/sec: 1,090,850 | mfu: 48.14 | total time: 1.03m
step 00127 (15.70%) | loss: 1.485966 | lrm: 1.00 | dt: 482.52ms | tok/sec: 1,086,565 | mfu: 47.95 | total time: 1.03m
step 00128 (15.82%) | loss: 1.478498 | lrm: 1.00 | dt: 547.69ms | tok/sec: 957,263 | mfu: 42.25 | total time: 1.04m
step 00129 (15.94%) | loss: 1.474526 | lrm: 1.00 | dt: 541.87ms | tok/sec: 967,545 | mfu: 42.70 | total time: 1.05m
step 00130 (16.05%) | loss: 1.473558 | lrm: 1.00 | dt: 736.57ms | tok/sec: 711,792 | mfu: 31.41 | total time: 1.07m
step 00131 (16.19%) | loss: 1.473554 | lrm: 1.00 | dt: 611.35ms | tok/sec: 857,584 | mfu: 37.85 | total time: 1.08m
step 00132 (16.32%) | loss: 1.475637 | lrm: 1.00 | dt: 549.58ms | tok/sec: 953,987 | mfu: 42.10 | total time: 1.08m
step 00133 (16.45%) | loss: 1.470209 | lrm: 1.00 | dt: 616.17ms | tok/sec: 850,882 | mfu: 37.55 | total time: 1.09m
step 00134 (16.59%) | loss: 1.472736 | lrm: 1.00 | dt: 540.24ms | tok/sec: 970,477 | mfu: 42.83 | total time: 1.10m
step 00135 (16.71%) | loss: 1.478743 | lrm: 1.00 | dt: 653.07ms | tok/sec: 802,802 | mfu: 35.43 | total time: 1.11m
step 00136 (16.84%) | loss: 1.475046 | lrm: 1.00 | dt: 612.74ms | tok/sec: 855,642 | mfu: 37.76 | total time: 1.13m
step 00137 (16.96%) | loss: 1.470108 | lrm: 1.00 | dt: 475.25ms | tok/sec: 1,103,174 | mfu: 48.69 | total time: 1.13m
step 00138 (17.08%) | loss: 1.457378 | lrm: 1.00 | dt: 481.22ms | tok/sec: 1,089,496 | mfu: 48.08 | total time: 1.14m
step 00139 (17.19%) | loss: 1.462185 | lrm: 1.00 | dt: 480.09ms | tok/sec: 1,092,059 | mfu: 48.20 | total time: 1.15m
step 00140 (17.33%) | loss: 1.460466 | lrm: 1.00 | dt: 477.68ms | tok/sec: 1,097,576 | mfu: 48.44 | total time: 1.16m
step 00141 (17.46%) | loss: 1.458008 | lrm: 1.00 | dt: 545.03ms | tok/sec: 961,934 | mfu: 42.45 | total time: 1.17m
step 00142 (17.59%) | loss: 1.454160 | lrm: 1.00 | dt: 552.82ms | tok/sec: 948,382 | mfu: 41.85 | total time: 1.18m
step 00143 (17.71%) | loss: 1.445849 | lrm: 1.00 | dt: 473.25ms | tok/sec: 1,107,849 | mfu: 48.89 | total time: 1.18m
step 00144 (17.84%) | loss: 1.453915 | lrm: 1.00 | dt: 538.74ms | tok/sec: 973,165 | mfu: 42.95 | total time: 1.19m
step 00145 (17.96%) | loss: 1.452492 | lrm: 1.00 | dt: 474.19ms | tok/sec: 1,105,658 | mfu: 48.80 | total time: 1.20m
step 00146 (18.08%) | loss: 1.445864 | lrm: 1.00 | dt: 482.36ms | tok/sec: 1,086,928 | mfu: 47.97 | total time: 1.21m
step 00147 (18.19%) | loss: 1.444408 | lrm: 1.00 | dt: 606.68ms | tok/sec: 864,188 | mfu: 38.14 | total time: 1.22m
step 00148 (18.34%) | loss: 1.448926 | lrm: 1.00 | dt: 545.56ms | tok/sec: 961,010 | mfu: 42.41 | total time: 1.23m
step 00149 (18.47%) | loss: 1.455660 | lrm: 1.00 | dt: 473.03ms | tok/sec: 1,108,371 | mfu: 48.92 | total time: 1.24m
step 00150 (18.59%) | loss: 1.456675 | lrm: 1.00 | dt: 546.45ms | tok/sec: 959,438 | mfu: 42.34 | total time: 1.24m
Step 00150 | Validation bpb: 0.4558
step 00151 (18.70%) | loss: 1.463640 | lrm: 1.00 | dt: 939.01ms | tok/sec: 558,338 | mfu: 24.64 | total time: 1.26m
step 00152 (18.84%) | loss: 1.464835 | lrm: 1.00 | dt: 470.32ms | tok/sec: 1,114,746 | mfu: 49.20 | total time: 1.27m
